Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
version_info;rtld.c;827;0.979672908782959;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.058856725692749;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.9800033569335938;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8516526222229004;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8129124641418457;0-2;LSB bit-flip;1
ranges;dl-reloc.c;258;0.4268479347229004;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.7754712104797363;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9910604953765869;0-2;LSB bit-flip;1
preload_file;rtld.c;1630;0.6579937934875488;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.8692810535430908;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.6151401996612549;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.2680778503417969;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.6164741516113281;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.8534479141235352;0-2;LSB bit-flip;1
free_list;arena.c;83;0.3694026470184326;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;0.3170051574707031;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.1578829288482666;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.67529296875;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.198444128036499;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.0572187900543213;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;../elf/dl-runtime.c;0;0.5349314212799072;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1614384651184082;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.4117591381072998;0-2;LSB bit-flip;1
__evoke_link_warning_llseek;../sysdeps/unix/sysv/linux/lseek64.c;53;1.429250955581665;0-2;LSB bit-flip;1
aligned_heap_area;arena.c;446;0.23659157752990723;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.33348751068115234;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.7290265560150146;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.896573543548584;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.1173343658447266;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.0733509063720703;0-2;LSB bit-flip;1
